2021-01-05 17:00:22.865 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 27
2021-01-05 17:00:23.025 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:23.025 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:27, pending tasks:0
2021-01-05 17:00:23.025 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 27
2021-01-05 17:00:23.346 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:23.346 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:27, pending tasks:0
2021-01-05 17:00:23.346 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 27
2021-01-05 17:00:23.986 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:23.987 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:27, pending tasks:0
2021-01-05 17:00:23.987 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 27
2021-01-05 17:00:25.268 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:25.269 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:00:25.269 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:00:27.832 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:27.832 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:00:27.832 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:00:32.958 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:32.958 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:00:32.958 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:00:43.208 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:00:43.209 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:00:43.209 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.698 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:03.699 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.699 parsl:217 Rank:0 [DEBUG]  Return from heartbeat: None
2021-01-05 17:01:03.699 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.701 parsl:272 Rank:0 [DEBUG]  Got heartbeat from interchange
2021-01-05 17:01:03.701 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.701 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.701 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
